nd,nf,la,ld,ndev,nuc,contains_bug
3,7,24,36,3,4,0
1,1,3,0,2,1,0
1,1,6,1,2,1,0
1,1,0,2,2,1,0
3,3,10,5,3,2,0
2,2,126,60,4,2,0
1,1,40,35,3,1,1
1,1,1,1,2,1,0
8,8,20,16,2,2,0
1,1,1,1,6,1,0
1,1,19,1,1,1,0
8,10,90,29,6,7,0
9,10,48,20,2,10,0
11,13,32,56,2,5,0
3,3,14,10,2,3,0
9,12,50,28,2,9,0
6,6,19,10,2,5,0
4,4,156,47,1,4,1
5,8,149,23,2,4,0
6,6,95,23,2,4,0
1,1,2,0,1,1,0
1,1,36,30,1,1,0
1,1,6,0,1,1,0
5,5,42,6,1,3,0
9,14,218,67,1,6,0
8,8,135,59,1,4,0
2,2,29,44,1,2,0
2,2,4,2,1,2,0
16,25,78,66,1,5,1
29,43,524,277,1,6,1
30,47,421,152,1,6,1
17,22,301,65,1,6,1
54,99,808,628,1,6,1
23,51,333,956,1,4,1
2,3,9,7,1,2,0
5,5,27,13,4,4,0
1,1,4,29,4,1,0
5,5,30,30,1,1,0
3,3,38,3,4,3,1
6,6,105,47,3,5,0
8,11,90,23,5,9,1
1,1,6,1,1,1,0
16,21,73,134,4,10,0
2,2,7,7,3,2,1
1,3,3,3,1,1,0
3,3,5,23,4,2,0
6,9,136,49,2,7,1
3,3,17,5,4,2,1
1,1,6,5,3,1,0
28,128,1659,2374,4,45,0
1,1,7,7,2,1,1
5,6,14,6,5,3,0
2,2,5,2,4,2,0
1,1,1,1,4,1,0
4,5,6,5,4,4,1
2,2,2,2,1,2,0
0,0,0,0,0,0,0
2,2,2,2,4,2,0
3,4,25,8,4,4,0
6,6,28,27,1,3,0
1,1,2,0,1,1,0
1,1,22,22,1,1,0
1,1,45,45,1,1,0
2,3,12,6,4,2,0
3,3,13,199,4,2,1
4,4,6,43,2,4,0
1,1,5,2,1,1,0
2,2,4,5,4,2,1
6,6,21,17,4,1,0
1,1,2,2,4,1,0
2,2,10,2,4,1,0
