nd,nf,la,ld,ndev,nuc,contains_bug
1,1,4,0,22,16,0
2,3,5,0,31,92,0
2,3,84,98,31,5,0
2,2,4,2,31,21,0
1,1,1,1,31,104,0
2,2,37,51,32,451,0
9,14,40,35,32,236,0
13,13,78,5,32,216,0
1,1,4,3,31,164,0
2,2,22,9,31,456,0
1,1,19,15,31,3,0
7,7,79,65,31,599,0
1,2,23,15,28,37,0
1,1,7,1,31,88,0
1,1,13,11,31,33,0
1,1,0,0,1,0,0
2,2,40,10,31,32,0
1,1,6,0,31,95,0
2,2,34,2,31,87,0
3,9,93,7,31,22,0
1,1,1,1,31,2,0
2,3,115,4,31,3,0
3,4,40,45,31,58,0
1,2,233,101,31,5,0
1,2,1,15,31,5,0
1,1,3,0,28,13,0
1,1,1,1,28,18,0
1,1,5,4,31,94,0
5,10,146,259,31,142,0
1,1,1,1,31,83,0
1,1,10,1,23,29,0
1,1,3,1,31,30,0
2,4,156,4,31,8,0
2,2,87,1,26,39,0
3,6,105,101,31,7,0
1,1,5,1,31,58,0
2,2,3,8,31,135,0
2,2,38,78,31,32,0
4,5,269,163,31,12,0
1,1,124,0,1,0,0
1,1,31,0,1,0,0
1,1,3,1,31,18,0
2,2,34,16,31,13,0
5,5,1307,1,31,134,0
2,2,10,3,31,87,0
1,1,7,5,31,31,0
1,1,2,2,31,30,0
1,1,8,1,31,29,0
1,1,17,15,31,28,0
1,1,2,1,26,4,0
2,2,21,14,31,85,0
1,1,1,1,31,163,0
1,6,42,42,31,64,0
2,2,65,0,23,4,0
2,2,51,50,31,420,0
2,3,1,70,31,44,0
1,1,5,0,31,82,0
2,3,4,1,31,155,0
2,2,38,3,31,242,0
2,2,3,7,31,105,0
1,1,14,0,1,0,0
7,16,33,46,31,281,0
24,256,5955,6038,31,662,1
3,3,168,23,31,434,1
2,2,23,5,31,210,0
1,1,2,5,31,133,0
10,13,41,15,31,333,1
1,1,5,5,31,5,0
6,20,237,245,31,575,1
2,2,9,1,31,8,0
1,3,4,0,1,0,0
1,1,4,0,22,15,0
2,2,314,287,31,60,0
1,1,1,1,28,4,0
1,1,1,1,28,3,0
1,1,4,1,28,2,0
1,1,25,1,31,17,0
1,1,0,0,22,5,0
1,2,2,3,28,18,0
4,21,77,57,31,195,0
2,2,17,2,31,17,0
5,5,0,0,22,15,0
4,6,1121,1,31,49,0
9,23,523,682,31,1034,1
1,1,3,3,31,76,0
3,4,22,10,31,123,0
2,2,6,3,31,16,0
1,1,11,6,31,14,0
1,1,8,8,31,2,0
1,1,278,271,31,1,0
7,29,1051,1053,31,1084,1
1,2,3,3,28,195,0
1,2,2,2,28,193,0
2,2,26,22,30,11,1
1,1,1,1,31,49,1
1,1,0,8,31,3,0
2,2,34,0,31,31,0
5,7,195,32,31,552,0
3,3,13,12,31,471,0
2,2,8,3,31,463,0
1,1,5,8,31,14,0
3,3,12,5,31,305,1
1,1,101,78,31,22,1
6,10,323,342,31,610,1
3,3,9,1,31,536,0
1,1,2,2,28,49,0
3,4,129,17,30,19,0
2,4,91,66,30,59,0
2,2,75,20,30,34,1
2,2,5,2,30,18,0
1,2,26,37,30,33,0
