nd,nf,la,ld,ndev,nuc,contains_bug
9,9,322,323,9,220,0
1,1,381,0,1,0,0
1,1,2,2,8,40,0
1,1,1,1,8,96,0
1,1,83,83,8,39,0
2,2,16,4,8,18,0
1,1,12,0,8,13,0
1,1,1,1,7,96,0
2,2,13,10,8,39,0
1,1,8,5,8,37,0
1,1,2,2,7,95,0
1,1,15,6,8,11,0
1,1,11,12,8,106,0
1,1,9,1,8,12,0
2,3,11,7,8,53,0
1,1,11,2,8,10,0
1,1,5,1,8,8,0
3,3,108,23,8,17,0
2,2,28,6,8,53,0
3,3,1433,1385,8,21,1
1,1,1,1,8,16,0
2,2,8,2,8,53,0
5,6,71,19,8,176,0
1,1,2,1,8,6,0
2,2,6,13,8,27,0
2,2,8,6,8,11,0
1,1,31,0,6,13,0
2,3,19,22,8,15,0
1,1,10,5,8,4,0
3,4,34,39,8,67,0
6,13,176,60,8,278,0
1,1,4,0,8,38,0
1,1,53,51,8,4,0
1,1,0,5,8,38,0
1,1,2,1,8,37,0
2,2,9,11,8,97,0
2,3,14,23,8,8,0
1,1,4,14,8,3,0
1,1,9,19,8,2,1
2,3,14,11,8,149,0
1,2,18,12,8,30,0
8,11,224,136,8,224,1
7,15,275,210,8,158,1
1,1,4,0,8,1,0
12,34,5593,5629,8,666,0
1,2,2,4,8,83,0
9,24,437,379,8,395,0
8,22,313,257,8,514,1
2,2,41,21,8,155,0
5,11,231,168,8,242,0
8,17,563,471,8,450,1
10,21,410,355,8,574,1
1,1,18,0,8,6,0
8,15,336,339,8,323,1
1,1,27,23,8,2,0
1,1,0,32,6,12,0
13,41,402,805,8,750,0
5,6,114,172,8,345,0
1,1,16,11,6,11,0
2,4,260,0,1,0,0
1,1,0,321,8,80,0
4,4,21,32,8,159,0
10,14,827,751,8,29,1
1,1,31,14,8,1,0
11,12,84,104,8,444,0
1,1,15,3,7,33,0
1,1,3,3,7,32,0
2,2,48,15,8,104,0
1,1,16,7,6,9,0
2,2,31,11,6,18,0
2,2,25,11,6,16,0
1,1,11,4,8,146,0
1,2,3,3,7,172,0
1,1,10,2,7,8,0
1,1,13,2,7,31,0
1,1,3,0,8,26,0
1,1,1,1,7,1,0
1,2,3,3,7,170,0
2,3,7,8,8,243,0
1,2,3,3,7,168,0
2,4,70,21,8,87,0
2,2,4,1,8,108,0
2,4,87,45,8,83,0
1,3,62,20,8,116,0
2,2,8,3,8,168,0
2,2,36,49,8,93,0
1,1,16,41,8,23,0
4,7,114,105,8,97,0
1,2,30,21,8,112,0
2,2,53,40,8,90,0
2,3,127,48,8,125,1
1,1,0,3,7,4,0
2,3,113,47,8,122,1
1,2,3,3,7,166,0
1,1,4,1,7,17,0
1,1,14,5,7,45,0
1,2,3,3,7,164,0
1,1,8,6,7,14,0
1,1,4,5,8,143,0
1,1,4,0,7,24,0
1,1,12,4,7,16,0
1,1,1,1,7,73,0
1,1,2,2,7,89,0
1,2,10,3,8,154,0
1,1,8,1,7,44,0
1,1,5,0,7,8,0
3,3,10,4,8,130,0
1,1,1,1,8,26,0
1,2,2,2,7,160,0
1,1,72,78,8,25,0
1,1,67,69,8,13,0
8,8,331,18,8,193,0
1,1,7,5,7,27,0
1,1,2,1,7,16,0
4,5,85,24,8,243,1
2,2,38,54,8,13,0
3,4,43,1,8,241,0
3,3,70,1,8,234,0
2,5,105,33,8,189,0
1,1,1,1,8,4,0
3,6,119,24,8,271,0
2,3,231,243,8,12,0
1,1,4,3,8,88,0
1,1,2,2,7,15,0
1,1,1,1,8,136,0
1,1,1,1,7,84,0
2,2,33,6,8,222,0
2,2,20,3,8,129,0
1,1,5,0,8,7,0
1,2,6,6,1,2,0
1,1,5,2,8,6,0
1,2,12,3,8,139,0
1,1,31,30,8,4,0
1,1,53,17,8,3,1
1,2,173,0,1,0,0
1,1,6,0,8,1,0
1,2,3,3,7,41,0
3,6,0,0,7,6,0
1,1,7,32,7,4,0
2,2,8,2,7,90,0
5,11,75,43,7,214,0
1,1,13,1,7,129,0
1,2,24,2,7,53,1
1,1,16,8,6,8,1
1,1,5,1,7,18,0
5,5,32,3,7,210,1
1,2,48,4,7,33,1
1,1,15,13,7,6,0
1,1,2,0,7,81,0
1,1,7,0,6,10,0
1,1,3,1,6,9,0
6,6,37,24,7,304,0
2,4,68,14,7,95,1
2,2,11,6,7,34,0
2,3,21,15,7,120,1
3,6,136,63,7,72,1
2,2,12,1,7,7,1
1,1,4,0,7,77,0
1,2,13,19,7,38,0
1,1,5,3,7,76,0
1,1,3,0,7,71,0
2,4,37,23,7,237,1
6,10,250,232,7,269,1
3,4,5,144,0,0,0
