nd,nf,la,ld,ndev,nuc,contains_bug
1,2,14,0,11,12,0
1,2,6,6,12,109,0
6,17,0,2,12,99,0
3,3,3,3,12,87,0
3,11,98,137,9,159,0
3,3,36,25,12,40,0
1,1,2,2,12,6,0
1,1,4,1,1,1,0
1,1,10,3,12,5,0
1,1,1,3,12,63,0
1,1,1,0,12,4,0
1,1,4,1,12,47,0
1,1,91,0,1,0,0
1,1,64,11,12,3,1
3,3,27,16,12,11,1
1,1,0,5,11,3,0
1,1,418,0,1,0,0
1,1,1,1,12,1,0
1,1,3,0,12,16,0
3,3,123,12,12,56,0
1,1,1,16,12,6,0
3,3,0,150,12,44,0
2,2,0,83,12,56,0
2,3,46,2,11,9,0
1,1,4,0,11,2,0
8,29,0,0,12,43,0
1,1,37,1,12,9,0
1,1,46,0,12,10,0
2,3,36,7,12,76,0
1,1,28,0,1,1,0
1,1,5,0,12,13,0
1,2,10,9,12,71,0
1,2,2,8,11,7,0
2,3,81,26,12,74,0
1,2,11,3,11,27,0
1,2,92,16,12,11,1
3,4,17,4,12,179,0
3,4,61,32,12,202,1
5,7,28,22,12,54,1
2,3,44,5,12,78,1
1,1,30,0,12,5,0
1,1,3,3,11,1,0
2,3,109,23,12,125,0
1,1,123,4,11,3,0
2,3,16,1,12,9,0
1,1,11,0,12,4,0
1,2,14,2,11,5,0
3,4,19,1,12,8,0
1,1,64,0,12,2,0
1,2,15,0,11,4,0
2,3,12,24,12,66,1
2,2,2,2,12,27,1
1,2,6,2,12,9,0
2,4,475,26,11,7,0
1,1,198,198,1,1,1
1,1,3,4,1,1,0
2,4,28,1,12,71,0
1,2,30,4,11,2,0
1,1,1,1,11,1,0
1,1,33,9,12,27,0
1,1,0,2,12,13,0
1,1,69,152,12,6,1
2,2,207,1,12,19,1
2,3,95,45,12,65,0
2,3,28,1,11,9,0
3,3,78,20,12,84,1
2,3,13,8,12,10,1
1,1,4,0,12,8,0
1,1,1,1,11,2,1
1,1,1,0,12,44,0
3,3,12,6,12,100,0
1,1,10,1,12,3,1
2,2,21,12,12,20,1
1,1,7,1,11,3,0
1,1,14,0,1,0,1
2,3,25,4,12,145,1
1,1,3,0,12,13,0
2,2,22,0,12,37,0
1,1,31,0,1,0,0
1,1,17,2,11,38,0
1,1,2,6,12,28,0
1,1,0,21,11,7,0
1,1,27,1,12,12,0
2,2,48,1,12,35,0
1,1,1,1,12,12,0
3,3,6,8,12,45,0
1,1,6,0,12,27,0
1,1,58,9,12,11,0
1,1,7,0,12,17,0
1,1,25,28,11,2,0
3,3,20,1,12,174,1
1,2,21,6,12,79,0
3,3,23,6,12,57,0
1,2,41,5,12,59,0
1,1,9,15,12,41,0
1,2,10,12,12,48,0
1,1,264,4,12,2,1
2,3,15,0,12,86,0
2,2,37,0,12,35,1
7,8,137,77,12,104,1
3,4,3,36,12,138,0
2,2,2,3,12,38,0
1,1,1,1,11,3,0
1,1,2,2,12,1,0
3,3,3,3,12,28,0
2,3,920,0,1,0,1
