nd,nf,la,ld,ndev,nuc,contains_bug
1,1,1,1,2,20,0
2,3,418,373,2,26,0
3,15,398,314,2,30,0
1,1,3,3,2,17,0
2,4,294,253,2,34,0
1,1,4,4,2,2,0
3,8,2690,2463,2,22,0
4,6,146,36,2,44,0
3,9,249,27,2,38,0
2,3,148,70,2,23,0
1,1,22,25,2,11,0
1,2,30,30,2,18,0
2,6,236,125,2,21,0
2,4,2513,2612,2,17,1
2,7,3009,2833,2,17,0
5,9,3998,3691,2,318,0
3,5,2555,2667,2,157,0
3,4,2298,2166,2,149,1
2,3,2428,2300,2,4,1
2,2,5,5,2,175,0
1,1,0,0,2,45,0
1,1,109,0,1,0,0
3,3,23,14,2,167,0
4,4,940,930,2,349,0
1,1,239,233,2,28,0
1,1,268,245,2,37,0
3,3,24,6,2,344,0
4,6,348,291,2,199,0
1,1,10,0,1,1,0
1,1,52,0,1,0,0
4,8,414,315,2,186,0
2,2,11,10,2,52,0
5,25,4325,4293,2,469,0
4,24,3489,3471,2,293,0
1,5,94,135,2,180,0
1,4,470,637,2,147,0
1,3,112,94,2,145,0
2,2,116,412,2,159,0
1,1,1,5,2,147,0
3,4,37,10,2,232,1
3,3,74,7,2,265,0
2,2,5,5,2,173,0
1,1,0,0,2,44,0
4,5,52,19,2,250,1
3,3,29,25,2,295,0
1,2,5,5,2,42,0
2,8,116,46,2,231,1
3,5,198,7,2,262,0
2,2,6,2,2,167,0
5,8,105,39,2,411,1
1,1,8,1,2,136,0
1,2,56,55,2,40,0
1,4,99,176,2,61,0
2,6,307,263,2,222,1
4,5,287,200,2,210,0
6,10,225,49,2,543,0
5,6,45,13,2,591,0
2,2,5,5,2,170,0
1,1,0,0,2,43,0
1,1,110,87,2,137,0
1,3,271,254,2,39,0
2,4,583,484,2,43,0
1,1,4,4,2,2,0
2,2,27,1,2,23,0
1,2,5,2,2,40,0
3,4,64,18,2,214,1
1,1,16,16,2,11,0
1,1,2,2,2,12,0
2,4,3,3,2,26,0
1,2,0,0,2,3,0
1,1,15,0,1,1,0
3,3,54,4,2,257,0
3,4,115,56,2,262,0
4,4,202,126,2,293,0
