nd,nf,la,ld,ndev,nuc,contains_bug
4,4,10,4,1,0,0
1,1,7,1,1,2,0
2,2,7,8,1,0,0
3,3,110,1,1,2,0
2,4,4,4,1,0,0
4,9,107,42,1,1,1
1,4,6,6,1,1,0
1,1,3,2,1,0,0
2,2,2,1,1,2,0
1,1,2,3,1,0,0
1,1,2,3,1,1,0
3,3,19,3,1,1,0
4,4,20,4,1,0,0
1,1,2,2,1,1,0
1,4,6,6,1,0,0
1,2,1,70,1,0,0
1,1,8,4,1,0,0
2,6,102,39,1,0,0
6,212,54808,38416,1,0,0
2,2,2,2,1,0,0
2,2,2,2,1,0,0
1,234,4870,188,1,0,0
2,2,24,23,1,0,0
2,2,130,6,1,0,0
3,7,102,66,1,0,0
2,4,50,67,1,0,0
2,6,75,67,1,0,0
1,1,2,1,1,0,0
4,4,142,4,1,0,0
1,1,3,3,1,0,0
12,19,382,185,1,0,0
3,3,52,0,1,0,0
2,3,53,75,1,0,0
4,4,102,102,1,3,0
2,3,42,85,1,0,0
1,1,1,1,1,0,0
2,4,211,36,1,1,0
5,20,0,0,1,35,0
5,17,309,63,1,3,0
4,4,52,56,1,3,0
5,5,456,84,1,0,0
7,33,31,10,1,21,0
4,9,94,61,1,0,1
1,1,0,1,1,0,0
8,56,316,11,1,0,0
2,2,5,0,1,0,0
2,2,3,3,1,0,0
8,20,547,338,1,0,0
8,8,13,7,1,0,0
2,2,20,6,1,0,0
1,1,1,4,1,0,0
2,2,18,17,1,0,0
2,2,3,1,1,0,0
2,56,276,276,1,0,0
6,10,476,28,1,0,1
2,2,7,5,1,0,0
7,21,3,2,1,0,0
1,1,1,0,1,0,0
2,2,59,12,1,0,0
4,7,82,15,1,0,0
4,7,83,16,1,0,0
1,1,1,1,1,0,0
4,4,48,11,1,3,0
1,1,4,4,1,0,0
1,1,11,5,1,0,1
2,2,3,0,1,1,0
1,1,8,3,1,0,0
1,3,24,23,1,0,0
5,181,204035,145213,1,0,0
13,28,39,73,1,0,0
2,2,2,2,1,0,0
1,1,9,0,1,0,0
1,1,2,2,1,0,0
1,1,18,25,1,1,0
2,2,8,7,1,0,0
1,1,21,0,1,0,0
4,6,45,16,1,4,0
1,1,1,1,1,0,0
2,2,2,1,1,0,0
3,4,90,52,1,0,0
1,1,6,6,1,0,0
1,1,81,0,1,0,0
1,1,2,2,1,0,0
2,2,45,1,1,0,0
1,1,10,1,1,0,1
1,1,21,2,1,0,0
2,2,4,2,1,0,0
1,1,0,10,1,0,0
4,19,386,86,1,0,0
2,2,1,2,1,0,0
1,1,7,1,1,0,0
1,1,2,2,1,0,0
2,4,6,7,1,0,0
2,2,2,0,1,0,0
1,1,30,32,1,2,1
5,15,1997,1997,1,16,1
2,5,134,12,1,11,1
3,4,33,19,1,5,1
4,11,145,132,1,0,1
1,1,3,0,1,0,0
1,1,1,1,1,0,0
29,30,29,29,1,0,0
5,11,100,205,1,0,1
1,1,1,1,1,1,0
1,1,2,1,1,0,0
1,1,2,2,1,0,0
3,3,39,1,1,2,0
2,2,3,5,1,0,0
2,2,3,3,1,0,0
4,4,550,126,1,0,0
16,54,2489,1805,1,4,1
2,2,93,0,1,0,0
4,6,126,18,1,0,1
1,1,1,1,1,1,0
1,1,1,1,1,5,0
1,2,2,2,1,3,0
4,16,1059,924,1,10,0
3,6,1374,1372,1,6,0
2,2,3,1,1,2,0
9,19,40226,127,1,0,0
3,3,4,2,1,0,0
5,7,33,3,1,0,0
1,1,4,4,1,0,0
1,2,2,2,1,0,0
1,1,1,1,1,0,0
1,1,1,1,1,1,0
1,1,2,2,1,0,0
2,2,2,0,1,3,1
1,4,95,1,1,4,0
1,1,1,1,1,0,0
29,37,37,25,1,2,1
11,27,54,54,1,4,0
2,2,6,5,1,1,0
1,1,0,1,1,0,0
2,4,140,140,1,0,0
4,4,46,45,1,4,0
3,3,242,52,1,2,0
1,1,5,3,1,3,0
1,2,4,1,1,2,0
1,1,2,2,1,1,0
1,1,0,3,1,1,0
1,2,5,0,1,0,0
27,66,962,671,1,0,1
2,2,49,42,1,6,0
3,3,47,2,1,2,0
2,2,15,11,1,4,0
1,1,2,2,1,0,0
2,5,221,180,1,2,1
2,2,4,0,1,1,0
1,1,16,13,1,0,1
1,1,142,0,1,0,0
5,12,151,67,1,0,0
4,6,46,65,1,0,0
3,3,10,3,1,7,0
2,3,37,7,1,5,0
6,9,97,78,1,8,0
2,2,5,4,1,0,1
5,9,302,53,1,6,0
1,1,10,1,1,2,0
5,7,59,32,1,5,0
1,1,3,5,1,1,0
1,1,0,4,1,0,0
5,15,155,116,1,1,0
3,7,73,132,1,0,0
1,3,20,10,1,0,0
3,4,145,48,1,0,0
8,8,181,2,1,0,0
2,2,48,14,1,0,0
2,2,3,2,1,1,0
1,1,2,2,1,0,0
1,1,2,1,1,0,0
1,4,27,50,1,0,0
3,3,29,15,1,0,0
1,2,3,3,1,1,0
1,1,5,1,1,0,0
1,1,1,1,1,0,0
1,1,1,0,1,4,0
1,4,26,7,1,4,0
1,1,1,0,1,6,0
1,1,1,0,1,5,0
3,7,26,31,1,7,1
2,2,5,6,1,4,0
1,1,2,40,1,1,0
1,4,19,15,1,3,0
1,1,2,0,1,0,0
1,1,5,1,1,1,0
1,1,7,0,1,2,0
1,1,0,1,1,0,0
1,1,53,7,1,1,0
2,2,94,0,1,0,0
6,7,0,0,1,11,0
2,2,4,2,1,2,0
11,28,0,0,1,5,0
13,19,10,10,1,1,0
1,1,0,21,1,0,0
2,11,3,18,1,0,0
3,6,31,170,1,0,1
5,10,152,717,1,3,0
2,2,6,20,1,0,0
2,5,0,190,1,0,0
2,2,4,2,1,0,0
1,1,1,1,1,0,0
6,13,279,231,1,0,0
3,3,3,5,1,0,0
1,6,27,20,1,0,0
5,5,69,8,1,5,0
2,2,2,0,1,0,0
5,5,5,5,1,5,0
1,1,111,0,1,0,0
28,28,30,62,1,1,0
1,1,1,1,1,0,0
1,1,9,3,1,1,0
1,2,5,2,1,2,0
2,2,40,30,1,2,0
3,3,79,57,1,0,0
3,3,9,5,1,0,0
3,3,9,5,1,0,0
1,1,5,2,1,1,1
1,1,1,2,1,0,0
1,2,25,2,1,0,0
43,44,229,102,1,0,0
1,1,8,2,1,2,0
7,7,280,50,1,0,0
2,6,24,17,1,0,0
1,1,19,18,1,0,0
3,3,241,243,1,0,0
2,2,2,2,1,0,0
3,8,259,153,1,0,1
2,3,168,21,1,0,1
4,4,12,6,1,0,0
1,1,1,1,1,0,0
2,2,6,3,1,1,0
1,2,0,0,1,0,0
2,2,2,0,1,0,0
3,14,85413,100,1,0,0
2,3,60481,0,1,0,0
1,1,2,0,1,0,0
4,4,53,3,1,5,1
2,2,6,3,1,0,0
3,7,84,199,1,1,1
3,5,33,42,1,0,0
1,4,208,265,1,0,1
1,1,1,0,1,0,0
2,5,79,20,1,0,0
3,4,19,18,1,0,1
5,8,83,104,1,3,0
1,1,2,1,1,0,0
3,3,69,40,1,1,1
3,6,122,57,1,0,0
3,3,13,10,1,0,0
1,1,1,1,1,0,0
1,1,6,1,1,0,0
2,2,44,40,1,0,0
1,1,0,9,1,0,0
2,2,2,2,1,2,0
1,1,1,1,1,0,0
1,1,2,6,1,0,0
1,1,2,1,1,0,0
1,1,3,0,1,0,0
2,2,19,17,1,0,1
2,2,17,3,1,0,0
4,4,510,13,1,0,0
3,4,68,8,1,0,0
2,2,3,2,1,2,0
2,2,42,22,1,1,0
1,1,2,1,1,1,0
2,3,128,35,1,0,0
1,1,4,0,1,0,0
3,4,167,35,1,0,0
1,2,71,6,1,2,0
1,1,6,6,1,0,0
9,14,81,5,1,0,0
2,2,139,7,1,0,0
1,1,0,1,1,1,0
2,4,61,61,1,5,0
1,1,3,0,1,1,0
5,5,519,39,1,1,0
2,2,24,8,1,2,1
1,1,5,0,1,0,0
1,1,4,7,1,1,0
9,10,132,128,1,5,0
4,4,37,33,1,1,0
2,6,48,21,1,0,0
6,6,13,22,1,0,0
2,2,94,93,1,0,0
3,9,32,0,1,0,0
1,1,1,0,1,2,0
1,2,16,12,1,2,0
1,1,2,3,1,2,0
1,2,9,2,1,7,0
1,1,1,1,1,3,0
1,2,2,1,1,4,0
1,1,2,2,1,1,0
1,1,2,1,1,1,0
1,3,6,11,1,0,0
1,2,3,2,1,4,0
1,3,20,14,1,0,1
1,1,1,1,1,2,0
1,1,1,2,1,1,0
1,1,1,1,1,0,0
1,1,1,1,1,3,0
1,2,11,0,1,2,0
1,1,6,4,1,1,0
2,2,11,8,1,1,0
1,4,59,67,1,0,0
4,5,71,57,1,0,1
1,1,3,1,1,0,0
1,1,1,2,1,0,0
1,1,2,2,1,0,1
2,2,102,10,1,1,0
1,1,22,22,1,0,0
1,1,4,18,1,0,0
3,3,103,16,1,0,0
1,1,1,0,1,0,0
2,2,62,30,1,1,0
4,9,270,23,1,0,1
5,7,138,182,1,1,0
1,1,1,0,1,0,0
1,2,21,16,1,2,1
2,2,67,0,1,2,1
10,11,131,12,1,0,1
2,2,6,2,1,0,0
2,4,25,27,1,0,0
1,1,16,0,1,0,0
1,1,1,1,1,0,0
9,13,39,39,1,3,0
4,5,30,0,1,1,0
5,6,89,10,1,0,0
2,2,373,51,1,0,0
2,2,5,5,1,0,0
3,4,71,33,1,0,0
3,3,299,324,1,0,0
1,1,57,35,1,1,0
7,13,39,167,1,0,1
1,1,0,8,1,0,0
2,3,30,48,1,0,1
1,1,3,2,1,2,0
1,1,10,9,1,1,0
3,3,22,12,1,0,0
5,8,100,56,1,3,1
30,30,206,30,1,0,0
2,2,2,2,1,0,0
3,3,27,10,1,0,0
2,2,4,2,1,0,0
1,1,6,0,1,0,0
3,3,163,11,1,0,0
2,3,158,16,1,3,1
1,1,24,7,1,0,1
2,5,235,6,1,0,1
4,6,31,30,1,0,1
2,3,150,13,1,1,1
1,2,25,44,1,0,0
1,1,55,61,1,0,0
1,1,1,1,1,0,0
1,1,1,1,1,0,0
1,1,3,0,1,0,0
1,1,3,1,1,0,0
1,1,1,1,1,0,0
1,1,1,1,1,0,0
2,2,91,3,1,0,0
2,3,324,6,1,0,1
1,1,1,1,1,0,0
1,1,0,2,1,1,0
3,4,494,502,1,0,0
