nd,nf,la,ld,ndev,nuc,contains_bug
60,80,3325,1702,1,0,0
13,21,265,101,1,0,0
6,7,6,36,1,0,0
52,126,7466,512,1,0,0
2,2,2,2,1,0,0
2,2,126,13,1,0,0
54,60,850,492,1,0,0
1,1,31,0,1,1,0
1,1,10,114,1,0,0
73,98,654,617,1,0,0
4,5,69,8,1,0,0
64,124,1630,636,1,0,0
4,5,8,5,1,0,0
50,172,5170,177,1,0,0
53,68,647,324,1,0,0
2,2,2,2,17,14,0
1,1,1,1,15,1,0
13,31,794,289,17,126,0
2,3,52,12,16,13,0
47,58,298,130,16,124,0
1,1,3,3,16,4,0
1,2,6,16,16,9,0
20,55,1613,1000,16,165,0
35,91,3922,519,16,194,0
2,3,6,6,16,29,0
1,1,1,1,16,21,0
6,10,26,8,16,37,0
1,1,0,1,16,19,0
63,111,1307,121,16,122,0
2,2,4,4,16,4,0
2,2,8,9,16,2,0
1,1,8,3,16,22,0
1,1,1,1,16,1,0
1,3,48,17,16,4,0
2,3,3,45,16,3,0
183,840,54841,54767,16,245,0
1,1,0,2,16,1,0
1,1,12,12,16,6,0
1,1,6,7,16,4,0
3,3,10,18,16,15,1
1,1,17,19,16,2,0
1,1,0,1,14,6,0
3,3,109,55,16,11,1
1,1,266,0,1,0,1
1,1,12,12,15,3,0
2,2,6,5,15,16,0
1,1,4,1,15,8,0
1,1,2,0,15,3,0
1,1,2,0,15,2,0
8,10,56,26,15,87,0
1,1,3,4,15,5,0
2,2,12,74,15,8,1
3,4,68,28,15,27,0
1,1,53,10,15,2,1
17,30,482,272,15,218,0
1,1,1,0,15,10,0
1,1,1,3,15,9,0
1,1,12,0,14,1,0
17,49,1134,66,15,124,1
1,1,1,1,15,3,0
1,1,4,11,15,7,0
1,1,6,1,15,6,0
13,29,860,605,15,240,0
43,119,9079,8862,15,396,0
1,1,2,0,15,5,0
2,2,20,22,15,6,0
72,143,4361,368,15,368,1
1,2,5,1,14,3,0
2,2,3,3,14,2,0
4,4,20,27,15,40,0
2,2,16,15,15,5,0
3,3,5,4,15,36,0
1,1,1,1,14,12,0
1,1,2,1,14,11,0
25,61,1664,627,15,368,1
1,1,1,1,14,1,0
1,1,2,1,14,1,0
87,171,3240,2897,14,430,0
159,747,49947,46301,14,950,1
3,3,144,105,14,35,0
5,11,191,214,14,366,0
1,1,1,1,14,2,0
7,9,103,30,14,193,0
1,1,1,1,14,12,0
1,1,1,1,14,7,0
3,4,7,7,14,25,0
1,1,1,1,14,6,0
1,1,1,1,14,26,0
1,1,1,1,14,10,0
39,138,256,82,14,250,0
1,1,2,0,14,16,0
1,1,5,0,14,15,0
1,1,0,2,14,9,0
3,9,281,49,14,64,1
17,24,106,59,14,365,0
2,2,12,11,14,33,0
2,2,6,0,14,31,1
1,1,4,0,14,8,0
1,1,7,5,14,4,0
1,1,2,2,14,3,1
3,3,15,8,14,23,1
2,2,2,2,14,29,0
7,8,166,28,14,62,1
12,59,4181,178,14,279,0
3,5,46,18,14,40,0
3,3,5,5,14,30,0
4,8,338,148,14,42,1
1,1,33,15,14,1,0
27,91,1289,922,14,827,0
33,76,270,2234,13,457,1
8,18,221,99,13,226,0
19,20,109,77,13,90,0
39,104,2317,1399,13,595,1
6,15,603,149,12,145,1
27,58,1841,1031,12,430,1
24,47,1084,126,12,295,0
1,2,12,7,12,32,1
18,25,926,187,12,271,0
68,276,11964,9561,12,1163,1
12,21,87,13,12,37,0
74,258,1119,444,12,1293,0
1,1,1,1,12,6,0
1,2,0,0,11,2,0
2,3,43,4,12,117,0
2,3,9,14,12,102,0
5,6,78,76,12,34,0
1,1,26,16,12,28,0
1,1,2,2,12,26,0
1,2,22,20,12,43,1
9,40,146,43,12,403,0
2,3,34,17,12,163,0
3,10,1681,736,12,301,0
1,1,1,1,12,6,0
1,1,9,0,12,25,0
1,2,4,1,12,69,1
3,3,40,4,12,11,0
17,27,604,609,12,323,0
1,1,11,6,12,12,0
10,13,80,201,12,213,1
4,7,38,14,12,30,0
2,2,60,21,12,70,0
4,8,93,38,12,220,0
3,5,248,99,12,22,0
6,9,347,433,12,161,1
2,2,2,2,12,66,1
6,23,128,92,12,172,0
