nd,nf,la,ld,ndev,nuc,contains_bug
0,0,0,0,0,0,1
1,1,25,0,1,1,0
1,1,5,1,1,0,0
1,1,1,1,2,2,0
1,1,1,0,2,1,0
1,2,0,1457,1,0,0
1,1,6,3,1,0,0
1,1,4,3,2,3,1
1,1,2,1,1,1,0
1,1,5,0,1,0,0
1,1,1,4,1,1,0
1,1,0,58,1,0,0
1,1,0,1,1,2,0
1,1,1,1,1,0,0
1,1,1,1,1,1,0
1,1,1,1,20,3,0
1,2,0,0,20,1,0
1,1,8,3,20,44,0
1,1,3,19,20,14,0
1,1,0,1,20,5,0
1,1,3,0,20,3,0
1,1,3,0,20,2,0
1,1,1,1,20,7,0
1,1,1,1,20,4,0
1,1,1,1,20,4,0
1,1,1,1,20,3,0
1,1,7,5,20,41,0
1,1,2,0,1,1,0
1,1,30,0,1,0,0
1,1,0,1,20,3,0
1,1,2,0,20,42,0
1,1,1,1,20,41,0
1,1,0,1,20,40,0
1,1,2,4,20,39,0
1,1,9,0,20,6,0
1,1,2,5,20,38,0
1,1,1,0,20,37,0
1,1,1,3,20,36,0
1,1,0,4,20,35,0
1,1,1,1,20,34,0
1,1,1,0,20,33,0
1,1,1,1,20,32,0
1,1,2,0,20,31,0
1,1,9,8,20,30,0
1,1,1,0,20,29,0
1,1,2,0,20,28,0
1,1,5,15,20,27,0
1,1,2,1,20,26,0
1,1,0,3,20,25,0
1,1,3,4,20,24,0
1,1,3,5,20,39,0
1,1,100,79,20,38,0
1,1,22,6,20,1,0
1,1,1,3,20,23,0
1,1,1,3,20,22,0
1,1,2,0,20,21,0
1,1,1,4,20,20,0
1,1,3,0,20,19,0
1,1,2,2,20,37,0
1,1,1,1,20,18,0
1,1,3,0,20,17,0
1,1,1,1,20,5,0
1,1,7,4,20,8,0
1,2,5,2,20,8,0
1,1,10,0,20,33,0
1,1,6,0,20,27,0
1,1,8,4,20,25,0
1,1,5,0,20,24,0
1,1,1,0,20,1,0
1,1,0,54,20,1,0
1,1,12,1,20,22,0
1,1,13,11,20,2,0
1,1,1,1,20,19,0
1,1,10,10,20,15,0
1,1,14,0,20,14,0
1,1,1,1,20,13,0
1,1,7,10,20,12,0
1,1,0,9,20,11,0
1,1,0,9,20,10,0
1,1,111,103,20,17,0
1,1,9,0,20,15,0
1,3,28,15,20,6,0
1,2,45,20,20,3,0
1,2,28,29,18,65,0
1,1,2,2,20,11,0
1,1,21,8,20,26,0
1,1,1,2,20,9,0
1,1,0,4,20,9,0
1,1,0,1,20,4,0
1,1,34,32,20,40,0
1,1,1,6,20,8,0
1,1,2,2,20,6,0
1,1,2,1,1,2,0
1,1,1,0,1,1,0
1,1,0,0,1,0,0
1,1,1,0,20,1,0
1,1,1,2,19,39,0
1,1,4,1,19,73,0
1,2,14,4,18,63,0
1,1,4,41,18,56,0
1,1,2,2,19,10,0
1,1,4,1,1,6,0
1,1,6,0,1,5,0
1,1,2,2,1,4,0
1,1,8,0,1,3,0
1,1,3,0,1,2,0
1,1,2,0,1,1,0
1,1,2,2,19,86,0
1,1,13,0,1,0,0
1,1,1,1,19,71,0
1,1,4,0,19,35,0
1,1,1,1,19,45,0
1,1,6,3,19,34,0
1,1,2,2,19,13,0
1,1,2,3,19,1,0
1,1,1,0,19,18,0
1,2,13,6,19,61,0
1,1,15,0,19,323,0
1,1,9,2,19,322,0
1,1,15,15,19,320,0
1,1,1,1,19,85,0
1,1,1,1,18,55,0
1,1,0,2,19,21,0
1,1,2,2,18,3,0
1,1,1,1,19,126,0
1,1,1,1,19,66,0
1,1,6,6,19,65,0
1,1,6,15,18,54,1
1,1,3,5,18,53,1
1,1,9,8,18,52,1
1,1,18,15,18,51,1
1,1,21,0,18,9,0
1,1,6,6,18,63,0
1,1,1,2,18,27,0
1,1,1,0,18,26,0
1,1,9,1,18,25,0
1,1,3,1,19,35,0
1,1,2,0,19,37,0
1,1,10,8,19,312,0
1,1,83,115,19,18,1
1,1,0,0,12,1,0
1,1,0,5,18,36,0
1,1,3,3,18,35,0
1,1,2,1,19,4,0
1,1,2,1,19,309,0
1,1,1,0,18,3,0
1,1,2,2,18,50,0
1,1,12,2,18,35,0
1,1,10,0,19,308,0
1,1,14,9,19,1,1
1,1,3,3,18,31,0
1,1,1,1,18,122,0
1,1,11,22,18,305,0
1,1,1,0,18,304,0
1,1,2,1,18,33,0
1,1,3,1,18,20,0
1,1,20,18,18,8,0
1,1,1,1,18,61,0
1,1,2,2,18,7,0
1,1,5,1,18,32,0
1,1,3,0,18,1,0
1,1,3,2,18,303,0
1,1,2,1,18,34,0
1,2,5,9,18,61,1
1,2,32,35,18,49,1
1,1,4,2,18,30,0
1,1,2,2,18,120,0
1,1,3,2,18,16,0
1,1,10,13,18,28,1
1,1,30,0,18,27,1
1,1,7,7,18,300,0
1,2,48,33,18,299,0
1,3,7,12,18,305,0
1,1,17,19,18,296,0
1,1,88,88,18,295,0
1,1,2,2,18,294,0
1,1,4,4,18,70,0
1,3,23,39,18,294,0
1,4,94,158,18,292,1
1,3,119,1,18,289,1
1,1,7,6,18,48,0
1,1,14,6,18,47,0
1,1,35,2,18,46,0
1,1,63,55,18,45,1
1,1,2,2,18,81,0
1,1,18,32,18,28,1
1,1,3,3,18,3,0
1,1,0,3,18,287,0
1,1,6,9,18,286,0
1,1,40,39,18,285,1
1,1,22,23,18,284,0
1,1,0,4,18,283,0
1,1,1,12,18,282,0
1,1,70,69,18,281,1
1,1,1,1,18,280,0
1,1,0,7,18,279,0
1,1,23,27,18,277,0
1,2,105,109,18,319,1
1,1,26,26,18,274,1
1,1,1,1,16,47,0
1,2,21,22,18,7,0
1,1,2,2,18,271,0
1,1,3,14,18,267,0
1,1,0,4,18,266,0
1,1,0,3,18,264,0
1,1,0,24,18,263,0
1,1,6,6,18,262,1
1,1,3,2,18,7,0
1,1,6,4,18,2,0
1,1,17,6,18,44,1
1,1,6,3,18,259,0
1,1,6,2,18,258,0
1,1,0,0,1,1,0
1,1,7,0,18,42,0
1,1,19,0,10,5,0
1,1,19,0,10,6,0
1,1,1,1,18,59,0
1,1,1,1,18,57,0
1,1,2,1,18,9,0
1,2,2,2,18,134,0
1,1,2,2,12,2,0
1,1,3,1,18,256,1
1,1,11,1,18,22,0
1,1,1,1,18,25,1
1,1,1,1,18,24,0
1,1,3,3,18,115,0
1,1,1,2,18,17,0
1,1,1,5,18,23,0
1,1,2,0,18,22,0
1,1,4,0,18,21,1
1,1,6,3,18,20,0
1,1,39,39,18,1,0
1,1,4,4,18,69,0
1,1,16,0,18,77,0
1,1,3,6,18,9,0
1,1,9,2,18,8,0
1,1,5,6,18,76,0
1,1,1,1,18,54,0
1,1,2,2,18,75,0
1,1,1,5,18,74,0
1,1,1,1,18,254,0
1,1,1,1,18,52,0
1,1,3,1,18,16,0
1,1,4,3,18,3,0
1,1,9,9,18,110,0
1,1,1,1,18,5,0
1,1,0,0,12,1,0
1,1,1,1,1,1,0
1,2,10,0,1,0,0
1,2,10,0,1,0,0
1,1,15,3,18,246,0
1,4,473,473,18,138,1
1,2,10,0,1,0,0
1,1,1,1,18,51,0
1,1,1,2,18,30,0
1,1,1,1,18,50,0
1,1,1,1,18,49,0
1,1,1,1,18,48,0
1,1,1,1,18,245,0
1,1,1,1,18,72,0
1,1,1,1,1,1,0
1,1,5,0,18,28,0
1,1,17,9,18,67,0
1,1,1,1,18,66,0
1,1,6,2,18,10,0
1,1,1,1,18,33,0
1,1,8,4,18,11,0
1,2,22,19,17,13,0
1,1,2,1,18,65,0
1,1,2,2,18,38,0
1,1,9,0,18,37,1
1,1,2,2,12,4,0
1,1,2,2,18,6,0
1,1,8,1,18,11,0
1,1,2,0,18,10,1
1,1,48,41,18,9,1
1,1,12,4,18,25,0
1,1,1,1,18,107,0
1,2,10,0,1,0,0
1,1,4,3,11,7,0
1,1,3,1,18,27,0
1,1,1,1,18,45,0
1,1,2,0,18,242,1
1,1,2,0,18,8,1
1,1,2,2,18,23,1
1,1,4,2,18,11,0
1,1,1,1,18,241,0
1,1,1,1,1,3,0
1,1,1,1,18,240,1
1,1,1,1,18,36,0
1,1,1,1,18,34,0
1,1,6,4,11,6,0
1,1,1,1,1,2,0
1,1,2,2,18,71,0
1,1,1,1,2,1,0
1,1,1,1,18,105,0
1,1,1,1,18,18,0
1,1,2,2,1,1,0
1,1,2,1,18,238,0
1,1,3,5,18,8,0
